distance_m,distance_earth_radii,earth_solid_angle_sr,earth_ir_flux_w_m2,earth_albedo_flux_w_m2,extra_heat_ir_only_w,extra_heat_ir_plus_albedo_w,temperature_ir_only_k,temperature_ir_plus_albedo_k
53144455.130124144,8.341619075517837,0.04531249729821078,3.434766303220544,2.933922764863908,0.34347663032205444,0.3728158579706935,156.89172539191807,160.13898763244657
53960511.12497851,8.46970822868914,0.04394752931784931,3.331662507878981,2.8458531421903515,0.33316625078789813,0.36162478220980165,155.70117084315703,158.9237660680324
54789098.01106334,8.59976424596819,0.04262381978572671,3.2316536516614773,2.760427167308329,0.32316536516614774,0.350769636839231,154.51966044537693,157.7177754492427
55630408.2056097,8.73181732940036,0.04134011317944221,3.134646831604096,2.6775654839831637,0.3134646831604096,0.3402403380002412,153.34712571965377,156.52094586918986
56484637.08049837,8.865898144796478,0.040095192687145106,3.040551933476469,2.597191118072055,0.3040551933476469,0.3300271045283675,152.18349871076848,155.33320795529696
57351983.007629454,9.002037828854098,0.038887878983717775,2.9492815480704477,2.5192294060191713,0.29492815480704476,0.3201204488672365,151.02871198332255,154.15449286532754
58232647.404988796,9.140267996388133,0.03771702904747999,2.8607508900015763,2.4436079254971625,0.28607508900015766,0.31051116825512926,149.88269861788524,152.98473228344747
59126834.78342216,9.280620747672604,0.036581535015939984,2.774877718947895,2.3702564281305976,0.2774877718947895,0.3011903361760955,148.7453922071711,151.8238584163178
60034752.794127755,9.42312867589511,0.03548032307922625,2.691582263252988,2.299106774238902,0.26915822632529884,0.2921492940676878,147.61672685224914,150.67180398921943
60956612.2768769,9.567824874725616,0.03441235240984493,2.6107871458223864,2.230092869538243,0.26107871458223864,0.28337964327762105,146.496637158784,149.5285022422108
61892627.30897687,9.714742946001705,0.03337661412748945,2.5324173122442297,2.1631506037433454,0.253241731224423,0.2748732372618564,145.3850582333059,148.39388692631434
62843015.25498369,9.86391700753158,0.032372130297668646,2.456399961067759,2.0982177910124813,0.2456399961067759,0.2666221740169007,144.28192567951356,147.26789229973676
63807996.817180276,10.015381701017152,0.0313979529629659,2.3826644761745124,2.035234112180028,0.23826644761745125,0.25861878873925154,143.1871755946052,146.1504531241177
64787796.08682761,10.169172200098512,0.030453163205796566,2.311142361179749,1.9741410587232042,0.2311142361179749,0.25085564670520694,142.10074456564212,145.04150466081154
65782640.59620501,10.325324218522212,0.02953687024156775,2.241767175802839,1.9148818784106676,0.2241767175802839,0.24332553636439053,141.02256966594007,143.94098266719746
66792761.371447414,10.48387401843469,0.028648210541182217,2.174474474147806,1.857401522582739,0.21744744741478061,0.23602146264060797,139.9525884514927,142.84882339302217
67818392.98619607,10.644858418803338,0.027786346981890968,2.109201744836419,1.8016465950140372,0.2109201744836419,0.22893664043378228,138.89073895742277,141.76496357677053
68859773.61607097,10.808314803966562,0.026950468025503327,2.0458883529384755,1.7475653023112545,0.20458883529384755,0.2220644883169601,137.836959694465,140.6893404420685
69917145.09398186,10.97428113231547,0.026139786923028034,1.9844754836450773,1.6951074057997597,0.19844754836450773,0.21539862242250532,136.791189645476,139.62189169411377
70990752.96628658,11.142795945108553,0.025353540944846268,1.9249060876328232,1.6442241748545643,0.19249060876328233,0.20893285051182797,135.75336826197565,138.56255551613793
72080846.549813,11.313898375421912,0.024590990635543875,1.8671248280679702,1.5948683416321177,0.18671248280679703,0.2026611662231182,134.72343546071627,137.51127056589726
73187678.98975652,11.487628157236937,0.02385141909256856,1.8110780292014088,1.5469940571609524,0.1811078029201409,0.19657774349175042,133.70133162028077,136.4679759721924
74311507.31846608,11.664025634667412,0.02313413126790907,1.7567136265067338,1.5005568487504173,0.1756713626506734,0.19067693113817755,132.68699757771003,135.4326113314182
75452592.51513271,11.843131771328318,0.0224384532920291,1.7039811183150533,1.4555135786779,0.17039811183150533,0.18495324761828436,131.6803746251591,134.40511670414264
76611199.56639528,12.024988159848577,0.021763731819292028,1.6528315189015825,1.4118224041161427,0.16528315189015827,0.1794013759313197,130.68140450658115,133.38543261171367
77787597.5278771,12.209637031529917,0.021109333394179634,1.6032173129804614,1.369442738263436,0.16032173129804617,0.1740161586806805,129.69002941443972,132.3735000328951
78982059.58666585,12.3971212661538,0.020474643837590477,1.5550924115656029,1.3283352126406605,0.15550924115656029,0.1687925932829669,128.7061919864505,131.36926040053217
80194863.12475516,12.587484401939282,0.019859067652571283,1.5084121091563998,1.288461640519996,0.15084121091563998,0.16372582732083996,127.72983530234907,130.3726555982436
81426289.78345802,12.780770645653433,0.01926202744882003,1.463133042208715,1.2497849814515027,0.1463133042208715,0.1588111540353865,126.7609028806887,129.383627957144
82676625.52881171,12.977024882877368,0.018682963385348295,1.419213148852384,1.2122693068544528,0.1419213148852384,0.15404400795378295,125.79933867566385,128.40212025259243
83946160.7179845,13.176292688429523,0.018121332630707768,1.3766116298179998,1.1758797666416094,0.13766116298179998,0.14941996064821608,124.8450870739633,127.42807570097095
85235190.1667047,13.378620336949412,0.017576608840192277,1.3352889105364907,1.1405825568452912,0.13352889105364907,0.144934716622102,123.89809289164887,126.46143795648895
86544013.21772256,13.584054813643473,0.0170482816494732,1.2952066043764687,1.1063448882152975,0.12952066043764687,0.14058410931979984,122.95830137106313,125.50215110801712
87872933.81032519,13.792643825196231,0.016535856184114493,1.2563274769850528,1.073134955759408,0.12563274769850527,0.13636409725609935,122.02565817776348,124.55015967594787
89222260.55091867,14.004435810848952,0.01603885258446498,1.2186154116991035,1.0409219091982091,0.12186154116991035,0.13227076026189244,121.10010939748308,123.60540860908313
90592306.78469338,14.219479953648309,0.015556805545416002,1.1820353759947557,1.0096758243068176,0.11820353759947558,0.12830029584254374,120.18160153311962,122.66784328155015
91983390.66838963,14.437826191867781,0.015089263870545763,1.1465533889440562,0.9793676751168581,0.11465533889440563,0.12444901564557422,119.27008150175065,121.73740948974437
93395835.24418154,14.659525230604544,0.014635790040185198,1.1121364896484605,0.9499693069528585,0.11121364896484605,0.12071334203437464,118.36549663167551,120.814053449299
94829968.51469526,14.884628553554428,0.014195959792952576,1.0787527066198834,0.9214534102780301,0.10787527066198835,0.11708980476476864,117.46779465948359,119.89772179208146
96286123.51917854,15.113188434967594,0.013769361720323663,1.0463710280808787,0.8937934953251522,0.10463710280808787,0.1135750377613394,116.5769237271498,118.98836156321718
97764638.41083983,15.345257951787762,0.01335559687381751,1.0149613731563398,0.8669638674889822,0.10149613731563399,0.1101657759905238,115.69283237915651,118.0859202181402
99265856.53537567,15.580890995977974,0.012954278384393274,0.9844945639299393,0.8409396034573101,0.09844945639299393,0.10685885242756704,114.81546955964112,117.19034561966977
100790126.51070407,15.820142287035642,0.01256503109366182,0.9549422983393734,0.8156965280585067,0.09549422983393735,0.10365119511452241,113.9447846095701,116.3015860351135
102337802.30792129,16.06306738469962,0.012187491196542454,0.9262771238852434,0.7912111918040688,0.09262771238852435,0.10053982430656502,113.08072726393948,115.4195901333975
103909243.3335018,16.309722701852426,0.01182130589498871,0.8984724121291365,0.7674608491052854,0.08984724121291365,0.0975218497039665,112.22324764900132,114.54430698222262
