distance_m,distance_earth_radii,earth_solid_angle_sr,earth_hemisphere_fraction,earth_ir_irradiance_w_m2,temperature_equal_area_kirchhoff_k,temperature_sphere_like_k,temperature_mismatch_stress_k
16736712.143783515,2.6270149338853424,0.4730296410326099,0.07528500559932472,17.99311633823861,133.4669275042822,94.37536950241127,237.34148910202262
16930580.441230245,2.6574447404222643,0.46183088338537137,0.07350266796327853,17.56713764322357,132.66987406008107,93.81176760704857,235.92410537349917
17126694.395794816,2.6882270280638543,0.4509079005084725,0.07176422124511195,17.151648877581756,131.87835922312883,93.25208209842987,234.51657083620665
17325080.01985761,2.719365879745348,0.44025336630209017,0.07006849945982452,16.74637137089806,131.0923187629164,92.69626755872667,233.1187712703534
17525763.627111126,2.7508654256962997,0.4298601769915214,0.06841437200655764,16.35103490956728,130.3116900414191,92.14427969616695,231.73059528802975
17728771.836050414,2.7827298439884496,0.41972144291045066,0.06680074236086098,15.965377424245775,129.5364119501719,91.59607530054069,230.35193422131056
17934131.573503584,2.814963361089873,0.40983048066685934,0.06522654682785811,15.58914469185809,128.7664248505223,91.05161220095229,228.9826820160081
18141870.078203436,2.8475702524255904,0.40018080566940767,0.0636907533527834,15.222090051315234,128.00167051686407,90.51084922568076,227.62273513072563
18352014.904400226,2.880554842944628,0.39076612499373303,0.06219236038561804,14.863974132162713,127.24209208267494,89.97374616402256,226.2719924408975
18564593.925516665,2.913921507693716,0.3815803305694528,0.06073039579676787,14.514564595427524,126.48763398918992,89.44026372999822,224.93035514751585
18779635.337844912,2.947674672397569,0.3726174926700157,0.05930391584094108,14.17363588598492,125.73824193655753,88.91036352781457,223.59772669027288
18997167.664286386,2.9818188140458934,0.36387185368867964,0.05791200416656427,13.840968995808863,124.99386283733294,88.38400801897932,222.27401266485845
19217219.75813525,3.016358461487247,0.35533782218502824,0.05655377086825619,13.516351237513232,124.25444477217368,87.86116049097338,220.95912074417495
19439820.806905385,3.0512981960297263,0.3470099671874532,0.05522835158003958,13.199576027629462,123.5199369476132,87.34178502739208,219.65296060324656
19665000.336201653,3.0866426520486034,0.33888301273797194,0.05393490660712197,12.890442679102152,122.79028965579533,86.82584647947327,218.3554438476162
19892788.213636402,3.1223965176010675,0.3309518326665934,0.05267262009421014,12.588756202516226,122.06545423605878,86.31331043893336,217.06648394503173
20123214.652790915,3.1585645350480167,0.3232114455832983,0.051440699228459064,12.294327115601718,121.34538303827148,85.80414321204083,215.7859961602445
20356310.217222992,3.1951515016830943,0.31565701007640556,0.05023837347526816,12.006971260589092,120.6300293878179,85.29831179485855,214.51389749274674
20592105.82452071,3.2321622703689705,0.3082838201068165,0.04906489384525248,11.726509629015343,119.91934755215087,84.79578384959228,213.25010661729138
20830632.750403557,3.2696017501810637,0.30108730058823624,0.04791953219081312,11.452768193604339,119.21329270882164,84.29652768198459,211.9945438270408
21071922.632870678,3.307474907058653,0.29406300314413336,0.046801580530836384,11.185577746869898,118.51182091491359,83.8005122197011,210.74713097921102
21316007.476397205,3.3457867644635386,0.2872066020326889,0.04571035040212923,10.924773746108887,117.81488907780302,83.30770699165542,209.50779144307668
21562919.656179532,3.384542404046387,0.28051389023152407,0.04464517223628439,10.670196164471971,117.12245492717778,82.81808210822318,208.27645005021202
21812691.922429383,3.423746966320732,0.2739807756745086,0.04360539476074976,10.421689347819195,116.4344769882509,82.33160824230124,207.05303304685737
22065357.404717844,3.4634056513448193,0.26760327763334935,0.042590384422940386,10.179101877082754,115.75091455610601,81.84825661116722,205.83746804829795
22320949.616369475,3.503523719411313,0.2613775232371289,0.0415995248363058,9.942286435877088,115.07172767111958,81.36799895910033,204.6296839951581
22579502.458907735,3.5441064917450533,0.25529974412329176,0.04063221624731794,9.711099683108989,114.39687709540252,80.89080754072316,203.42961111150754
22841050.226551536,3.5851593512088424,0.24936627321401553,0.039687875022414665,9.485402130357105,113.72632429021411,80.41665510503077,202.23718086469717
23105627.61076386,3.6266877430174005,0.24357354161218703,0.038765933153979026,9.265058023800988,113.06003139429878,79.94551488007261,201.0523259268357
23373269.704853456,3.6686971754596542,0.2379180756115311,0.03786583778448649,9.049935230492272,112.39796120309894,79.47736055825374,199.87498013782454
23644012.008629426,3.7111932206293243,0.2323964938157757,0.03698705074800579,8.839905128773385,111.7400771488052,79.01216628222814,198.70507846988102
23917890.433109976,3.7541815151640208,0.2270055043619602,0.03612904812827478,8.634842502657673,111.08634328119994,78.54990663135315,197.5425569934735
24194941.305285417,3.7976677609928453,0.22174190224330687,0.035291319832622126,8.434625439996688,110.43672424925983,78.09055660868046,196.38735284460495
24475201.37293685,3.8416577260927403,0.21660256672727235,0.034473369181037494,8.239135234267962,109.79118528347799,77.63409162845596,195.23940419337728
